epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,583.32,1.76998,1.75797,1.10119,0.526,0.37617,0.38127,0.20074,1.60117,1.26768,1.04203,0.000555544,0.000555544,0.000555544
2,1151.4,1.72699,1.38477,1.08865,0.56431,0.36712,0.39378,0.20978,1.60307,1.23246,1.03738,0.00110021,0.00110021,0.00110021
3,1719.77,1.727,1.3384,1.0851,0.55241,0.3925,0.40418,0.21118,1.60215,1.15857,1.02996,0.00163387,0.00163387,0.00163387
4,2288.41,1.69989,1.27429,1.07487,0.56189,0.40451,0.42196,0.21801,1.57637,1.13247,1.01847,0.00161749,0.00161749,0.00161749
5,2856.67,1.66698,1.2337,1.06724,0.56457,0.40487,0.42363,0.22075,1.58336,1.12554,1.0242,0.00160099,0.00160099,0.00160099
6,3420.15,1.66319,1.20403,1.06537,0.59016,0.4224,0.44881,0.23594,1.53843,1.05151,1.01288,0.00158448,0.00158448,0.00158448
7,3964.61,1.63925,1.17661,1.0551,0.60113,0.4211,0.44729,0.23629,1.5278,1.03621,1.01094,0.00156798,0.00156798,0.00156798
8,4507.99,1.63179,1.14105,1.04479,0.60012,0.42937,0.4592,0.24274,1.51427,1.01626,1.00135,0.00155148,0.00155148,0.00155148
9,5051.68,1.61741,1.14627,1.04213,0.59793,0.42834,0.45815,0.24165,1.50878,1.0219,1.00208,0.00153497,0.00153497,0.00153497
10,5595.46,1.60223,1.10675,1.03735,0.61273,0.44327,0.47374,0.24859,1.50589,0.99529,1.00112,0.00151847,0.00151847,0.00151847
11,6142.79,1.59794,1.09369,1.03342,0.6269,0.44536,0.47897,0.25545,1.48258,0.99311,0.99245,0.00150197,0.00150197,0.00150197
12,6688.57,1.58729,1.08036,1.03281,0.61424,0.44956,0.48108,0.25789,1.47364,0.96778,0.99413,0.00148546,0.00148546,0.00148546
13,7233.37,1.58334,1.0803,1.03245,0.61025,0.44418,0.47479,0.25126,1.48348,0.97704,0.99675,0.00146896,0.00146896,0.00146896
14,7777.1,1.57112,1.05794,1.02517,0.6261,0.44098,0.47344,0.25013,1.48643,0.98832,0.99763,0.00145246,0.00145246,0.00145246
