epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,640.702,1.9209,3.13739,1.10989,0.31631,0.13268,0.1072,0.04091,1.63843,3.79036,1.04381,0.000237947,0.000237947,0.000237947
2,1233.66,1.80003,2.14906,1.06697,0.34958,0.1522,0.11645,0.04208,1.67551,3.95158,1.05038,0.000428829,0.000428829,0.000428829
3,1825.33,1.75886,1.89535,1.04748,0.28094,0.1349,0.10461,0.03811,1.73685,4.54423,1.04625,0.000572586,0.000572586,0.000572586
4,2415.03,1.7328,1.73347,1.03657,0.34664,0.13842,0.12065,0.04451,1.67077,4.34667,1.03836,0.000501942,0.000501942,0.000501942
5,3001.76,1.68548,1.61658,1.02577,0.31535,0.14993,0.12331,0.0468,1.66449,4.71272,1.03967,0.000431256,0.000431256,0.000431256
6,3591.9,1.65588,1.53749,1.0136,0.31562,0.16033,0.13211,0.04892,1.66341,4.47542,1.03542,0.00036057,0.00036057,0.00036057
7,4179.14,1.63629,1.48525,1.00615,0.30712,0.15677,0.1279,0.04659,1.62891,4.62709,1.03019,0.000289884,0.000289884,0.000289884
8,4766.89,1.61668,1.43889,1.00006,0.30356,0.16271,0.13214,0.04856,1.61997,4.60482,1.03323,0.000219198,0.000219198,0.000219198
9,5354.95,1.60015,1.39831,0.9932,0.30973,0.16464,0.1362,0.05033,1.64042,4.76621,1.03018,0.000148512,0.000148512,0.000148512
10,5940.78,1.58046,1.36582,0.98786,0.28007,0.16144,0.1304,0.04938,1.62224,4.77173,1.01576,7.7826e-05,7.7826e-05,7.7826e-05
